date_et,computed_at,underlying,exp_window,level_type,level_price,session_high,session_low,session_close,tested,outcome,distance_pct,scored_at
2026-06-04,2026-06-04T10:35:03-04:00,SPY,intraday,val,753.75,758.31,751.47,757.03,true,broke,0.004351575456053032,2026-06-04T16:10:01-04:00
2026-06-04,2026-06-04T10:35:03-04:00,SPY,intraday,vpoc,754.75,758.31,751.47,757.03,true,broke,0.003020867837032094,2026-06-04T16:10:01-04:00
2026-06-04,2026-06-04T09:00:01-04:00,SPY,le45dte,call_wall,756.7220215841814,758.31,751.47,757.03,true,held,0.0004069901589143376,2026-06-04T16:10:01-04:00
2026-06-04,2026-06-04T09:00:01-04:00,SPY,le45dte,expected_range,,758.31,751.47,757.03,true,held,,2026-06-04T16:10:01-04:00
2026-06-04,2026-06-04T09:00:01-04:00,SPY,le45dte,gamma_flip,751.4636557992965,758.31,751.47,757.03,true,held,0.007407336546147184,2026-06-04T16:10:01-04:00
2026-06-04,2026-06-04T09:00:01-04:00,SPY,le45dte,key_gamma,756.7220215841814,758.31,751.47,757.03,true,held,0.0004069901589143376,2026-06-04T16:10:01-04:00
2026-06-04,2026-06-04T09:00:01-04:00,SPY,le45dte,put_wall,746.7651528791264,758.31,751.47,757.03,false,not_tested,0.006300303519432136,2026-06-04T16:10:01-04:00
2026-06-05,2026-06-05T09:00:01-04:00,ES,0dte,call_wall,7564.94,7553,7374,7376.5,true,held,-0.02490964898598001,2026-06-05T16:10:01-04:00
2026-06-05,2026-06-05T09:00:01-04:00,ES,0dte,expected_range,,7553,7374,7376.5,true,broke,,2026-06-05T16:10:01-04:00
2026-06-05,2026-06-05T09:00:01-04:00,ES,0dte,gamma_flip,7542.342858151192,7553,7374,7376.5,true,broke,-0.021988241753285093,2026-06-05T16:10:01-04:00
2026-06-05,2026-06-05T09:00:01-04:00,ES,0dte,key_gamma,7564.94,7553,7374,7376.5,true,held,-0.02490964898598001,2026-06-05T16:10:01-04:00
2026-06-05,2026-06-05T09:00:01-04:00,ES,0dte,put_wall,7514.94,7553,7374,7376.5,true,broke,-0.018421970102222986,2026-06-05T16:10:01-04:00
2026-06-05,2026-06-05T10:35:01-04:00,ES,intraday,onh,7591,7553,7374,7376.5,false,not_tested,-0.005005928072717692,2026-06-05T16:10:01-04:00
2026-06-05,2026-06-05T10:35:01-04:00,ES,intraday,onl,7543.5,7553,7374,7376.5,true,broke,-0.022138264731225557,2026-06-05T16:10:01-04:00
2026-06-05,2026-06-05T10:35:01-04:00,ES,intraday,pdh,7611.5,7553,7374,7376.5,false,not_tested,-0.007685738684884714,2026-06-05T16:10:01-04:00
2026-06-05,2026-06-05T10:35:01-04:00,ES,intraday,pdl,7541.75,7553,7374,7376.5,true,broke,-0.021911360095468558,2026-06-05T16:10:01-04:00
2026-06-05,2026-06-05T10:35:01-04:00,ES,intraday,vah,7610.5,7553,7374,7376.5,false,not_tested,-0.007555351159582157,2026-06-05T16:10:01-04:00
2026-06-05,2026-06-05T10:35:01-04:00,ES,intraday,val,7564.5,7553,7374,7376.5,true,held,-0.02485293145614383,2026-06-05T16:10:01-04:00
2026-06-05,2026-06-05T10:35:01-04:00,ES,intraday,vpoc,7606.5,7553,7374,7376.5,false,not_tested,-0.007033458226516795,2026-06-05T16:10:01-04:00
2026-06-05,2026-06-05T09:00:01-04:00,ES,le45dte,call_wall,7564.94,7553,7374,7376.5,true,held,-0.02490964898598001,2026-06-05T16:10:01-04:00
2026-06-05,2026-06-05T09:00:01-04:00,ES,le45dte,expected_range,,7553,7374,7376.5,true,broke,,2026-06-05T16:10:01-04:00
2026-06-05,2026-06-05T09:00:01-04:00,ES,le45dte,gamma_flip,7526.567381606497,7553,7374,7376.5,true,broke,-0.019938356225074595,2026-06-05T16:10:01-04:00
2026-06-05,2026-06-05T09:00:01-04:00,ES,le45dte,key_gamma,7564.94,7553,7374,7376.5,true,held,-0.02490964898598001,2026-06-05T16:10:01-04:00
2026-06-05,2026-06-05T09:00:01-04:00,ES,le45dte,put_wall,7464.94,7553,7374,7376.5,true,broke,-0.011847382564360813,2026-06-05T16:10:01-04:00
2026-06-05,2026-06-05T09:00:01-04:00,SPX,0dte,call_wall,7600,7541.81,7368.63,7384.67,false,not_tested,-0.0076565789473683685,2026-06-05T16:10:01-04:00
2026-06-05,2026-06-05T09:00:01-04:00,SPX,0dte,expected_range,,7541.81,7368.63,7384.67,true,broke,,2026-06-05T16:10:01-04:00
2026-06-05,2026-06-05T09:00:01-04:00,SPX,0dte,gamma_flip,7577.402858151192,7541.81,7368.63,7384.67,true,held,-0.02543521332561389,2026-06-05T16:10:01-04:00
2026-06-05,2026-06-05T09:00:01-04:00,SPX,0dte,key_gamma,7600,7541.81,7368.63,7384.67,false,not_tested,-0.0076565789473683685,2026-06-05T16:10:01-04:00
2026-06-05,2026-06-05T09:00:01-04:00,SPX,0dte,put_wall,7550,7541.81,7368.63,7384.67,true,broke,-0.021898013245033102,2026-06-05T16:10:01-04:00
2026-06-05,2026-06-05T10:35:01-04:00,SPX,intraday,pdh,7598.19,7541.81,7368.63,7384.67,false,not_tested,-0.007420188229038653,2026-06-05T16:10:01-04:00
2026-06-05,2026-06-05T10:35:01-04:00,SPX,intraday,pdl,7516.54,7541.81,7368.63,7384.67,true,broke,-0.017543976350820976,2026-06-05T16:10:01-04:00
2026-06-05,2026-06-05T10:35:01-04:00,SPX,intraday,vah,7592.5,7541.81,7368.63,7384.67,false,not_tested,-0.006676325321040448,2026-06-05T16:10:01-04:00
2026-06-05,2026-06-05T10:35:01-04:00,SPX,intraday,val,7542.5,7541.81,7368.63,7384.67,true,held,-0.02092542260523698,2026-06-05T16:10:01-04:00
2026-06-05,2026-06-05T10:35:01-04:00,SPX,intraday,vpoc,7592.5,7541.81,7368.63,7384.67,false,not_tested,-0.006676325321040448,2026-06-05T16:10:01-04:00
2026-06-05,2026-06-05T09:00:01-04:00,SPX,le45dte,call_wall,7600,7541.81,7368.63,7384.67,false,not_tested,-0.0076565789473683685,2026-06-05T16:10:01-04:00
2026-06-05,2026-06-05T09:00:01-04:00,SPX,le45dte,expected_range,,7541.81,7368.63,7384.67,true,broke,,2026-06-05T16:10:01-04:00
2026-06-05,2026-06-05T09:00:01-04:00,SPX,le45dte,gamma_flip,7561.627381606498,7541.81,7368.63,7384.67,true,held,-0.02340202348993588,2026-06-05T16:10:01-04:00
2026-06-05,2026-06-05T09:00:01-04:00,SPX,le45dte,key_gamma,7600,7541.81,7368.63,7384.67,false,not_tested,-0.0076565789473683685,2026-06-05T16:10:01-04:00
2026-06-05,2026-06-05T09:00:01-04:00,SPX,le45dte,put_wall,7500,7541.81,7368.63,7384.67,true,broke,-0.015377333333333324,2026-06-05T16:10:01-04:00
2026-06-05,2026-06-05T09:00:01-04:00,SPY,0dte,call_wall,754.0667509635023,752.82,735.53,737.42,true,held,-0.022075964683805606,2026-06-05T16:10:01-04:00
2026-06-05,2026-06-05T09:00:01-04:00,SPY,0dte,expected_range,,752.82,735.53,737.42,true,broke,,2026-06-05T16:10:01-04:00
2026-06-05,2026-06-05T09:00:01-04:00,SPY,0dte,gamma_flip,751.8246781562665,752.82,735.53,737.42,true,broke,-0.01915962401179989,2026-06-05T16:10:01-04:00
2026-06-05,2026-06-05T09:00:01-04:00,SPY,0dte,key_gamma,754.0667509635023,752.82,735.53,737.42,true,held,-0.022075964683805606,2026-06-05T16:10:01-04:00
2026-06-05,2026-06-05T09:00:01-04:00,SPY,0dte,put_wall,749.105785496637,752.82,735.53,737.42,true,broke,-0.015599646569128729,2026-06-05T16:10:01-04:00
2026-06-05,2026-06-05T10:35:01-04:00,SPY,intraday,pdh,758.31,752.82,735.53,737.42,false,not_tested,-0.007239783202120368,2026-06-05T16:10:01-04:00
2026-06-05,2026-06-05T10:35:01-04:00,SPY,intraday,pdl,751.47,752.82,735.53,737.42,true,broke,-0.01869668782519604,2026-06-05T16:10:01-04:00
2026-06-05,2026-06-05T10:35:01-04:00,SPY,intraday,vah,757.75,752.82,735.53,737.42,false,not_tested,-0.006506103596172814,2026-06-05T16:10:01-04:00
2026-06-05,2026-06-05T10:35:01-04:00,SPY,intraday,val,753.75,752.82,735.53,737.42,true,held,-0.021665008291874017,2026-06-05T16:10:01-04:00
2026-06-05,2026-06-05T10:35:01-04:00,SPY,intraday,vpoc,757.75,752.82,735.53,737.42,false,not_tested,-0.006506103596172814,2026-06-05T16:10:01-04:00
2026-06-05,2026-06-05T09:00:01-04:00,SPY,le45dte,call_wall,754.0667509635023,752.82,735.53,737.42,true,held,-0.022075964683805606,2026-06-05T16:10:01-04:00
2026-06-05,2026-06-05T09:00:01-04:00,SPY,le45dte,expected_range,,752.82,735.53,737.42,true,broke,,2026-06-05T16:10:01-04:00
2026-06-05,2026-06-05T09:00:01-04:00,SPY,le45dte,gamma_flip,750.259446269035,752.82,735.53,737.42,true,broke,-0.017113341701839754,2026-06-05T16:10:01-04:00
2026-06-05,2026-06-05T09:00:01-04:00,SPY,le45dte,key_gamma,754.0667509635023,752.82,735.53,737.42,true,held,-0.022075964683805606,2026-06-05T16:10:01-04:00
2026-06-05,2026-06-05T09:00:01-04:00,SPY,le45dte,put_wall,744.144820029772,752.82,735.53,737.42,true,broke,-0.009036977546256307,2026-06-05T16:10:01-04:00
2026-06-08,2026-06-08T09:00:01-04:00,ES,0dte,call_wall,7479.01,7539,7465.75,7477.25,true,held,-0.0002353252636378636,2026-06-09T19:20:44-04:00
2026-06-08,2026-06-08T09:00:01-04:00,ES,0dte,expected_range,,7539,7465.75,7477.25,true,held,,2026-06-09T19:20:44-04:00
2026-06-08,2026-06-08T09:00:01-04:00,ES,0dte,gamma_flip,7551.1556300535485,7539,7465.75,7477.25,true,held,-0.00978732708930069,2026-06-09T19:20:44-04:00
2026-06-08,2026-06-08T09:00:01-04:00,ES,0dte,key_gamma,7479.01,7539,7465.75,7477.25,true,held,-0.0002353252636378636,2026-06-09T19:20:44-04:00
2026-06-08,2026-06-08T09:00:01-04:00,ES,0dte,put_wall,7429.01,7539,7465.75,7477.25,false,not_tested,0.004945477257400351,2026-06-09T19:20:44-04:00
2026-06-08,2026-06-08T15:55:00-04:00,ES,intraday,pdh,7553,7539,7465.75,7477.25,true,held,-0.010029127499007017,2026-06-09T19:20:44-04:00
2026-06-08,2026-06-08T15:55:00-04:00,ES,intraday,pdl,7379.75,7539,7465.75,7477.25,false,not_tested,0.011653511297808191,2026-06-09T19:20:44-04:00
2026-06-08,2026-06-08T15:55:00-04:00,ES,intraday,vah,7552.5,7539,7465.75,7477.25,true,held,-0.009963588215822576,2026-06-09T19:20:44-04:00
2026-06-08,2026-06-08T15:55:00-04:00,ES,intraday,val,7422.5,7539,7465.75,7477.25,false,not_tested,0.005826877736611654,2026-06-09T19:20:44-04:00
2026-06-08,2026-06-08T15:55:00-04:00,ES,intraday,vpoc,7518.5,7539,7465.75,7477.25,true,broke,-0.005486466715435259,2026-06-09T19:20:44-04:00
2026-06-08,2026-06-08T09:00:01-04:00,ES,le45dte,call_wall,7579.01,7539,7465.75,7477.25,false,not_tested,-0.0052790535967098895,2026-06-09T19:20:44-04:00
2026-06-08,2026-06-08T09:00:01-04:00,ES,le45dte,expected_range,,7539,7465.75,7477.25,true,held,,2026-06-09T19:20:44-04:00
2026-06-08,2026-06-08T09:00:01-04:00,ES,le45dte,gamma_flip,7549.812845816675,7539,7465.75,7477.25,true,held,-0.009611211204643517,2026-06-09T19:20:44-04:00
2026-06-08,2026-06-08T09:00:01-04:00,ES,le45dte,key_gamma,7479.01,7539,7465.75,7477.25,true,held,-0.0002353252636378636,2026-06-09T19:20:44-04:00
2026-06-08,2026-06-08T09:00:01-04:00,ES,le45dte,put_wall,7429.01,7539,7465.75,7477.25,false,not_tested,0.004945477257400351,2026-06-09T19:20:44-04:00
2026-06-08,2026-06-08T09:00:01-04:00,SPX,0dte,call_wall,7400,7466.81,7395.13,7405.81,true,held,0.0007851351351351892,2026-06-09T19:20:44-04:00
2026-06-08,2026-06-08T09:00:01-04:00,SPX,0dte,expected_range,,7466.81,7395.13,7405.81,true,held,,2026-06-09T19:20:44-04:00
2026-06-08,2026-06-08T09:00:01-04:00,SPX,0dte,gamma_flip,7472.145630053548,7466.81,7395.13,7405.81,true,held,-0.008877721786730288,2026-06-09T19:20:44-04:00
2026-06-08,2026-06-08T09:00:01-04:00,SPX,0dte,key_gamma,7400,7466.81,7395.13,7405.81,true,held,0.0007851351351351892,2026-06-09T19:20:44-04:00
2026-06-08,2026-06-08T09:00:01-04:00,SPX,0dte,put_wall,7350,7466.81,7395.13,7405.81,false,not_tested,0.006140136054421784,2026-06-09T19:20:44-04:00
2026-06-08,2026-06-08T15:55:00-04:00,SPX,intraday,pdh,7541.81,7466.81,7395.13,7405.81,false,not_tested,-0.009944562379587924,2026-06-09T19:20:44-04:00
2026-06-08,2026-06-08T15:55:00-04:00,SPX,intraday,pdl,7368.63,7466.81,7395.13,7405.81,false,not_tested,0.003596326589881701,2026-06-09T19:20:44-04:00
2026-06-08,2026-06-08T15:55:00-04:00,SPX,intraday,vah,7537.5,7466.81,7395.13,7405.81,false,not_tested,-0.009378441127694806,2026-06-09T19:20:44-04:00
